90403,-126.28,-76.60,913.09,8,38,122,132.67,185.86,-334.77
90413,-126.89,-76.48,908.45,-61,-15,8,132.67,185.86,-334.77
90422,-127.75,-77.03,911.32,-8,84,38,132.67,185.86,-334.77
90430,-127.14,-73.06,914.86,-23,122,145,132.67,185.86,-334.77
90439,-130.31,-73.36,905.64,8,275,53,132.67,185.86,-334.77
90448,-130.31,-75.87,907.23,-46,69,84,132.67,185.86,-334.77
90458,-129.27,-76.29,915.41,-23,130,15,132.67,185.86,-334.77
90467,-127.69,-75.07,906.86,-15,23,38,132.67,185.86,-334.77
90476,-128.48,-76.48,906.92,-92,-99,53,132.67,185.86,-334.77
90485,-128.85,-76.97,910.16,107,69,46,132.67,185.86,-334.77
90494,-128.11,-75.13,908.94,-53,15,61,132.67,185.86,-334.77
90503,-127.26,-75.01,909.73,-38,214,92,132.67,185.86,-334.77
90512,-128.42,-75.07,912.41,8,114,99,132.67,185.86,-334.77
90522,-127.93,-75.68,909.12,46,153,114,125.43,189.48,-345.18
90531,-126.77,-76.42,909.61,-61,145,114,125.43,189.48,-345.18
90541,-127.44,-76.97,908.69,-122,31,137,125.43,189.48,-345.18
90550,-126.40,-75.50,914.86,-46,-23,114,125.43,189.48,-345.18
90559,-126.71,-75.62,912.66,31,38,168,125.43,189.48,-345.18
90568,-128.23,-76.66,910.71,46,76,46,125.43,189.48,-345.18
90576,-128.36,-75.13,914.92,145,168,137,125.43,189.48,-345.18
90586,-127.93,-77.27,909.55,-46,191,61,125.43,189.48,-345.18
90595,-127.69,-74.46,911.80,46,84,-15,125.43,189.48,-345.18
90604,-126.34,-73.73,907.35,69,99,137,125.43,189.48,-345.18
90613,-130.19,-75.38,912.05,0,-23,107,125.43,189.48,-345.18
90622,-126.95,-75.56,911.01,8,38,122,125.43,189.48,-345.18
90632,-128.11,-74.34,909.91,-76,-69,76,125.43,189.48,-345.18
90640,-128.72,-76.60,909.85,-23,221,31,125.43,189.48,-345.18
90650,-126.95,-74.83,911.99,53,214,-15,125.43,182.24,-320.90
90659,-126.28,-75.68,915.16,-84,76,0,125.43,182.24,-320.90
90669,-128.66,-76.05,913.51,38,-61,92,125.43,182.24,-320.90
90678,-126.40,-75.32,910.71,23,-107,46,125.43,182.24,-320.90
90687,-127.87,-76.29,911.01,0,-46,114,125.43,182.24,-320.90
90696,-126.83,-75.38,906.25,-69,46,15,125.43,182.24,-320.90
90704,-126.59,-77.27,908.33,-46,237,122,125.43,182.24,-320.90
90714,-127.20,-74.77,909.85,-23,214,31,125.43,182.24,-320.90
90723,-127.50,-75.44,908.63,15,137,61,125.43,182.24,-320.90
90732,-125.12,-73.06,911.44,-38,23,76,125.43,182.24,-320.90
90741,-126.83,-75.32,911.74,-61,15,38,125.43,182.24,-320.90
90750,-127.50,-73.12,911.13,-53,-15,84,125.43,182.24,-320.90
90760,-127.93,-75.44,908.57,-8,137,61,125.43,182.24,-320.90
90769,-126.71,-74.16,910.64,-53,191,61,123.62,180.43,-329.57
90778,-128.60,-74.34,912.78,-99,175,-46,123.62,180.43,-329.57
90787,-129.52,-74.65,908.26,-53,107,31,123.62,180.43,-329.57
90797,-128.54,-75.68,909.36,31,107,122,123.62,180.43,-329.57
90806,-129.09,-74.83,910.71,0,99,46,123.62,180.43,-329.57
90815,-127.32,-77.51,908.81,8,38,61,123.62,180.43,-329.57
90824,-125.92,-74.46,914.18,-8,-23,61,123.62,180.43,-329.57
90833,-129.52,-76.11,911.93,-46,-46,38,123.62,180.43,-329.57
90842,-129.39,-75.38,910.40,23,130,23,123.62,180.43,-329.57
90851,-127.26,-75.99,913.15,-69,46,23,123.62,180.43,-329.57
90860,-129.70,-75.50,911.62,15,107,-23,123.62,180.43,-329.57
90869,-130.37,-76.11,909.67,107,191,92,123.62,180.43,-329.57
90878,-128.72,-75.26,909.42,99,153,69,123.62,180.43,-329.57
90888,-128.23,-75.01,909.42,69,107,-8,123.62,180.43,-329.57
90898,-127.26,-76.29,913.64,-99,69,99,127.24,202.15,-343.44
90906,-125.37,-75.62,912.66,-76,-46,31,127.24,202.15,-343.44
90915,-128.11,-76.05,910.77,-31,46,23,127.24,202.15,-343.44
